club_name,league_name
Cerro Largo FC,Uruguay
Cerro Largo FC,Uruguay
Chacarita Juniors,Argentina
Chalkidona FC,Greece
Charleston Battery,Usa
Charlotte Eagles,Usa
Charlotte Independence,Usa
Chattanooga Red Wolves SC,Usa
Chicago Fire FC,Usa
Cleveland City Stars,Usa
Club América,Mexico
Club Athletico Paranaense,Brazil
Club Atlas,Mexico
Club Atlético Belgrano,Argentina
Club Atlético Nueva Chicago,Argentina
Club Atlético Patronato,Argentina
Club Atlético Platense,Argentina
Club Atlético Sarmiento,Argentina
Club Atlético Temperley,Argentina
Club Brugge KV,Belgium
Club Brugge KV U23,Belgium
Club León,Mexico
Club Nacional,Uruguay
Club Nacional,Uruguay
Club Necaxa,Mexico
Club Olimpo,Argentina
Club Plaza Colonia de Deportes,Uruguay
Club Plaza Colonia de Deportes,Uruguay
Club Puebla,Mexico
Club Santos Laguna,Mexico
Club Tijuana,Mexico
Club Universidad Nacional,Mexico
Club Universidad de Chile,Chile
Clube Atlético Mineiro,Brazil
Clube Náutico Capibaribe,Brazil
Clube do Remo,Brazil
Clyde FC,Scotland
Cobreloa,Chile
Cobresal,Chile
Colo Colo,Chile
Colorado Rapids,Usa
Colorado Springs Switchbacks FC,Usa
Columbus SC,Usa
Coquimbo Unido,Chile
Coritiba FC,Brazil
Cowdenbeath FC,Scotland
Criciúma Esporte Clube,Brazil
Crucero del Norte,Argentina
Cruz Azul,Mexico
Cruzeiro Esporte Clube,Brazil
Crystal Palace Baltimore,Usa
Cuiabá Esporte Clube,Brazil
Curicó Unido,Chile
D.C. United,Usa
Dalkurd FF,Sweden
Danubio FC,Uruguay
Danubio FC,Uruguay
Dayton Dutch Lions FC,Usa
Debreceni VSC,Hungary
Debreceni VSC,Hungary
Defensa y Justicia,Argentina
Defensor Sporting Club,Uruguay
Defensor Sporting Club,Uruguay
Degerfors IF,Sweden
Denizlispor,Turkey
Deportes Antofagasta,Chile
Deportes Iquique,Chile
Deportes La Serena,Chile
Deportes Melipilla,Chile
Deportes Temuco,Chile
Deportivo Toluca FC,Mexico
Dinamo Bucarest,Romania
Dinamo Zagreb,Croatia
Diyarbakırspor,Turkey
Diósgyőri VTK,Hungary
Diósgyőri VTK,Hungary
Djurgårdens IF,Sweden
Dorados de Sinaloa,Mexico
Doxa Drama FC,Greece
Dumbarton FC,Scotland
Dunaújváros FC,Hungary
Dunaújváros FC,Hungary
Dunaújváros PASE,Hungary
Dunaújváros PASE,Hungary
Dundee FC,Scotland
Dundee United FC,Scotland
Dunfermline Athletic FC,Scotland
Dyskobolia Grodzisk Wielkopolski,Polonia
Egaleo FC,Greece
Egri FC,Hungary
Egri FC,Hungary
El Paso Locomotive FC,Usa
Elazığspor,Turkey
Enköpings SK,Sweden
Ergotelis FC,Greece
Esbjerg fB,Denmark
Esbjerg fB,Denmark
Eskişehirspor,Turkey
Esporte Clube Bahia,Brazil
Esporte Clube Juventude,Brazil
Esporte Clube São Bento,Brazil
Esporte Clube Vitória,Brazil
Estudiantes de La Plata,Argentina
Ethnikos Asteras FC,Greece
Excel Mouscron,Belgium
FC Aarau,Switzerland
FC Academica Clinceni,Romania
FC Admira Wacker Mödling,Austria
FC Argeș Pitești,Romania
FC Astra Giurgiu,Romania
FC Basel,Switzerland
FC Borysfen Boryspil,Ukraine
FC Botoșani,Romania
FC Caracal,Romania
FC Chornomorets Odesa,Ukraine
FC Cincinnati,Usa
FC Cincinnati,Usa
FC Copenhagen,Denmark
FC Copenhagen,Denmark
FC Dallas,Usa
FC Desna Chernihiv,Ukraine
FC Dnipro,Ukraine
FC Dunărea Călărași,Romania
FC Dynamo Kyiv,Ukraine
FC Helsingør,Denmark
FC Helsingør,Denmark
FC Hoverla Uzhhorod,Ukraine
FC Internațional Curtea de Argeș,Romania
FC Juniors OÖ,Austria
FC Juárez,Mexico
FC Karpaty Lviv,Ukraine
FC Kharkiv,Ukraine
FC Kolos Kovalivka,Ukraine
FC Kryvbas Kryvyi Rih,Ukraine
FC Kärnten,Austria
FC Lausanne-Sport,Switzerland
FC Linz,Austria
FC Lugano,Switzerland
FC Luzern,Switzerland
FC Lviv,Ukraine
FC Mariupol,Ukraine
FC Metalist Kharkiv,Ukraine
FC Metalurh Donetsk,Ukraine
FC Metalurh Zaporizhya,Ukraine
FC Midtjylland,Denmark
FC Midtjylland,Denmark
FC Naftovyk-Ukrnafta Okhtyrka,Ukraine
FC New York,Usa
FC Nordsjælland,Denmark
FC Nordsjælland,Denmark
FC Obolon-Brovar Kyiv,Ukraine
FC Oleksandriya,Ukraine
FC Olimpik Donetsk,Ukraine
FC Petrolul Ploiești,Romania
FC Politehnica Iași,Romania
FC Politehnica Iași,Romania
FC Politehnica Timișoara,Romania
FC Poltava,Ukraine
FC Rapid București,Romania
FC Schaffhausen,Switzerland
FC Sevastopol,Ukraine
FC Shakhtar Donetsk,Ukraine
FC Sibiu,Romania
FC Sion,Switzerland
FC Sopron,Hungary
FC Sopron,Hungary
FC Sportul Studențesc București,Romania
FC St. Gallen,Switzerland
FC Stal Alchevsk,Ukraine
FC Stal Kamianske,Ukraine
FC Tatabánya,Hungary
FC Tatabánya,Hungary
FC Thun,Switzerland
FC Tirol Innsbruck,Austria
FC Trollhättan,Sweden
FC Tulsa,Usa
FC U Craiova 1948,Romania
FC UTA Arad,Romania
FC Unirea Alba Iulia,Romania
FC Unirea Urziceni,Romania
FC Universitatea Cluj,Romania
FC Vaslui,Romania
FC Vestsjælland,Denmark
FC Vestsjælland,Denmark
FC Victoria Brăneşti,Romania
FC Viitorul Constanța,Romania
FC Voluntari,Romania
FC Volyn Lutsk,Ukraine
FC Vorskla Poltava,Ukraine
FC Wacker Innsbruck,Austria
FC Wil 1900,Switzerland
FC Zirka Kropyvnytskyi,Ukraine
FC Zorya Luhansk,Ukraine
FC Zürich,Switzerland
FCSB,Romania
FCV Dender EH,Belgium
FK Austria Vienna,Austria
FK BSK Borča,Serbia
FK Banat Zrenjanin,Serbia
FK Bečej,Serbia
FK Bežanija,Serbia
FK Bodø/Glimt,Norway
FK Bodø/Glimt,Norway
FK Borac Čačak,Serbia
FK Dinamo Vranje,Serbia
FK Donji Srem,Serbia
FK Hajduk Kula,Serbia
